Average of Salespeople,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Antofagasta,3.5,3.571428571,3.571428571,4.785714286,5.5,5.5,8.857142857,9,0,0,0,0,4.5,7.714285714,8.428571429,9.142857143,8.142857143,16.18181818,19.57142857,18.14285714,19,19,19,19,17.85714286,4.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.785714286,6.071428571,5.857142857,5.928571429,5.785714286,5.071428571,5
Antofagasta Prat,2.928571429,2.857142857,6.357142857,6.642857143,6.142857143,6.357142857,9,8.714285714,6.142857143,7.214285714,7.428571429,7.5,8.642857143,9.428571429,10.14285714,9.857142857,8.071428571,9.181818182,9.857142857,9.285714286,8.714285714,9,9,9,8.428571429,1.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,6.857142857,8.142857143,5.928571429,6.214285714,3.357142857,2.928571429,2.928571429,2.642857143,2.428571429
Arica,23.28571429,18.57142857,22.14285714,22.71428571,20.71428571,19.28571429,23.85714286,24.71428571,20.42857143,21.5,23.57142857,20.92857143,26.78571429,25.92857143,27.78571429,27.71428571,24.5,29.36363636,27,27.28571429,29.42857143,31,31,31,28,7.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714285714,20.85714286,21.57142857,22.21428571,22.21428571,14.71428571,12.42857143,11.85714286,9.785714286,11.5
Calama,13.28571429,7.071428571,7,9,13.14285714,14.35714286,16.78571429,16.42857143,14.35714286,15.71428571,16.35714286,13.92857143,14.92857143,15.78571429,16.5,17.07142857,15.64285714,18.63636364,18.28571429,17.85714286,19,17,17,17,12.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.214285714,6.571428571,14.71428571,14.07142857,14.07142857,11.5,10.42857143
Castro,17.71428571,11.85714286,13.42857143,16,18.71428571,18.57142857,9.615384615,9.285714286,9.571428571,10.71428571,11.21428571,8.714285714,16.92857143,19.57142857,21.14285714,21.42857143,17.64285714,21.90909091,23.57142857,23,23.14285714,14,14,14,12.85714286,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,20,17.14285714,13.9,9.571428571,9.5,10.33333333,12.85714286
Chillan,0,0,9.571428571,12.42857143,20.85714286,20.42857143,11.84615385,10.85714286,11.14285714,11.35714286,12.64285714,9.357142857,12.5,11.85714286,11.71428571,11.71428571,11.57142857,9.636363636,11.42857143,14.14285714,15.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepcion Principal,16.5,14.92857143,14.28571429,15.92857143,18.57142857,20,21.57142857,22.71428571,23.07142857,23.14285714,24.07142857,20.5,23.35714286,21.92857143,23.71428571,23.42857143,20.64285714,23.72727273,21.42857143,22.28571429,23.28571429,26,26,26,22.85714286,4.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714285714,15,15,15.57142857,15.78571429,8.714285714,7.785714286,8.142857143,8,11.42857143
Coyhaique,19.85714286,15,14.57142857,16.42857143,19.28571429,18,9.230769231,8.785714286,10.07142857,10.07142857,10.5,8.857142857,10.78571429,9.214285714,9.428571429,10.14285714,9.214285714,7.363636364,9.142857143,12.42857143,12.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.285714286,0.1,0,0,0,7.142857143
Estado,26.57142857,17.28571429,17.28571429,16.71428571,21,18,10.5,10.85714286,11.28571429,11.5,12.85714286,9.071428571,12.78571429,11.85714286,11.07142857,5.857142857,8.714285714,7.818181818,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0.142857143,18.28571429,23.28571429,23.28571429,27.14285714,29.14285714,17.85714286,26,26.85714286,26.57142857,22.28571429,25.85714286,23.71428571,26.71428571,26.14285714,25.71428571,26.42857143,20,13.64285714,15.21428571,19.66666667,22.57142857
La Serena,15.85714286,16.42857143,17,16.28571429,13.85714286,13.57142857,8.916666667,8.571428571,9.785714286,10.28571429,9.928571429,8.357142857,10.07142857,9.142857143,9,7.142857143,8.071428571,6.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,9.857142857,10.71428571,10,10,1.1,0,0.714285714,5.111111111,5
