Average of Salespeople Working Same Time,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Antofagasta,3.061428571,3.102857143,3.102857143,4.182857143,4.54,4.54,8.181428571,8.228571429,0,0,0,0,6.575,10.78571429,11.96357143,13.09285714,11.56071429,20.17363636,27.83,25.42285714,26.63142857,18.30571429,18.30428571,18.3,16.53428571,3.214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.975714286,4.44,4.225714286,4.288571429,4.194285714,3.697142857,3.994285714
Antofagasta Prat,2.194285714,2.138571429,5.139285714,5.197857143,4.818571429,4.878571429,7.913571429,7.827857143,5.079285714,6.001428571,6.224285714,6.295,8.852142857,9.675714286,11.27214286,10.96142857,8.632142857,9.59,11.45571429,10.83,10.09714286,8.622857143,8.655714286,8.664285714,7.757142857,1.148571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591428571,5.438571429,6.32,4.462857143,4.705,2.547857143,2.162142857,2.108571429,1.922857143,1.795
Arica,17.99928571,13.38714286,16.26714286,16.84642857,16.32642857,14.87214286,20.11428571,20.83142857,16.92714286,17.55357143,19.45642857,17.38785714,26.98142857,29.635,32.26,32.745,28.06,35.47181818,37.96571429,39.24571429,43.13857143,27.71,27.50714286,27.50857143,23.49857143,4.665714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.514285714,15.65142857,16.26428571,15.87928571,16.17142857,10.35071429,8.64,7.957857143,6.715714286,8.150714286
Calama,9.895714286,4.805714286,4.796428571,6.566428571,9.705714286,11.42857143,14.03428571,14.40214286,12.40785714,13.84714286,14.46142857,12.08428571,16.39571429,18.795,20.43642857,21.02571429,18.01571429,18.52272727,19.97285714,19.04571429,20.20714286,15.31428571,15.31571429,15.31428571,11.00428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.117857143,4.416428571,11.81928571,10.60285714,10.625,8.538571429,7.179285714
Castro,16.43571429,11.32,12.53428571,14.56571429,17.41714286,17.77142857,8.83,8.446428571,8.553571429,9.595,9.902142857,7.396428571,16.21357143,19.36,21.24,21.375,18.39357143,23.24363636,26.98428571,26.29,26.39285714,14.52285714,14.52285714,14.52285714,12.44,1.988571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,10.77142857,10.77142857,17.59571429,15.44857143,13.477,8.912142857,9.31,10.04444444,11.80571429
Chillan,0,0,8.345714286,10.55714286,18.18857143,17.47714286,10.08461538,9.099285714,9.386428571,9.379285714,10.54357143,7.833571429,10.32071429,9.652857143,9.987142857,9.606428571,10.42,7.928181818,14.47428571,17.83571429,19.07285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepcion Principal,14.74785714,12.73857143,12.22142857,12.00642857,15.24714286,16.48857143,19.39214286,20.49,20.63285714,19.90571429,20.63571429,17.195,18.56428571,17.43,19.9,19.56071429,19.86642857,29.50454545,31.71,33.56714286,33.29857143,24.8,24.8,24.67,20.86,2.971428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.634285714,11.84571429,11.88428571,11.58714286,11.72,6.353571429,5.590714286,5.614285714,5.158571429,11.73214286
Coyhaique,18.50571429,13.68714286,11.83428571,15.93857143,17.56571429,16.68,8.386923077,8.260714286,9.132857143,9.137857143,9.367142857,7.465,9.525,8.328571429,8.235,8.82,8.437857143,6.588181818,12.11285714,16.36285714,15.99142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.225714286,0.038,0,0,0,6.707142857
Estado,24.23714286,17.49285714,16.66,17.10571429,19.87714286,17.45428571,10.00333333,10.21642857,9.978571429,9.986428571,11.79857143,8.034285714,11.47214286,10.60857143,9.624285714,5.078571429,7.810714286,6.584545455,0,0,0,0,0,0,0,0,0,0.141428571,0,0,0.105714286,20.38,23.03571429,20.04714286,24.44857143,26.95428571,14.73,22.92571429,25.13,24.26142857,18.52571429,21.36714286,19.85,22.92285714,21.84428571,21.85571429,22.86428571,18.631,12.90571429,13.85285714,18.30222222,19.28428571
La Serena,12.21142857,13.36428571,14.62285714,13.61142857,12.52285714,11.73,7.643333333,7.017142857,8.292857143,8.469285714,8.323571429,6.797857143,8.395,7.52,7.383571429,5.905,6.91,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,7.908571429,8.378571429,7.927142857,8.051428571,0.92,0,0.930714286,5.346666667,4.547142857
