Sum of Traffic,Column Labels,,,,,,,,,,,,,,,,,,
,2014,,2015,,,,,,,,,,,,2016,,,,
Row Labels,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5
Antofagasta,0,78316,93634,86397,88711,81850,94700,89662,90437,93926,85043,92738,89877,114733,46344,39967,841,347,141
Antofagasta Prat,31743,110237,62849,58237,63199,53184,61754,58875,60533,58527,52370,59284,62661,91983,56575,57673,72287,69920,11812
Arica,77524,233065,146406,127861,133753,115881,127360,127773,136474,134419,117502,137010,150286,206958,124514,109517,112274,107554,18698
Calama,51039,158093,85583,77121,78059,76198,83540,76498,83004,88290,80573,84718,93831,142702,68246,68277,73451,76539,12572
Castro,,0,,0,42821,89592,111859,104449,103831,103095,86695,102975,102074,159960,93866,79855,73066,70937,9352
Chillan,,0,,0,0,0,9283,76136,72839,84056,67353,73708,80485,127915,77670,86284,83487,82811,13050
Concepcion Principal,66258,215038,131875,130189,131837,116161,140289,124603,125443,127536,108213,120343,126488,182328,113546,116776,103304,93649,15005
Coyhaique,,0,,0,0,0,23,0,0,53342,52437,60390,65865,108202,65726,71955,67038,64140,9926
Estado,,0,,0,0,0,0,26069,68943,66113,53408,57231,63077,91325,39801,57975,58157,60014,10409
La Serena,,0,,0,0,0,0,16277,75129,80049,72432,79873,83156,132189,85739,88374,83539,80249,13130
Los Angeles,,0,,0,0,0,0,35334,90871,96656,79990,88117,91719,141844,92863,95874,91811,91963,13207
Melipilla,47588,145948,94144,86933,87024,80915,92034,88259,89570,96861,80552,94357,97437,112165,83882,85531,87489,87138,13733
Puente,73767,211657,142231,136040,135755,123012,152213,139748,143939,157118,133776,149348,150526,190160,89802,144393,142170,154075,24037
Puente Alto,55373,164279,100080,91917,100667,87345,107486,103856,104265,110007,85386,100838,113814,142694,0,8819,65106,109601,18051
Puente Alto (Dijon),,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3418,14522,2418
Rancagua,56837,205097,115866,107647,113034,99877,113405,104054,102880,111374,90451,100460,108245,169018,103410,103816,104125,101795,16413
San Antonio,,0,,0,0,0,0,20541,80417,81168,71314,75351,85027,128325,67498,90355,80768,75726,12694
San Bernardo Centro,,0,,0,0,0,0,26915,74109,80124,65336,76819,86453,126406,78501,75329,76336,81748,13075
San Felipe,55198,171886,103832,103721,104115,94256,107162,98511,99115,106392,72700,82167,86796,124187,79272,81362,84905,87359,14002
Talagante,,0,,0,0,0,0,26289,67419,76797,61259,65559,71512,107651,53217,60772,61285,61347,10615
Talca III,,0,,0,0,0,0,27665,74503,81665,65375,70246,73657,117298,76908,78834,78551,79155,11678
Temuco,64898,198853,140160,142537,130678,94665,100652,113278,115431,109446,104056,107604,124921,161069,116383,140674,116239,130543,20516
Temuco (Esp. Dijon),,0,,0,0,0,0,25027,52594,34283,39150,13121,36131,57723,40858,21117,4865,20933,3095
Vallenar,,0,,0,0,0,0,19234,80703,84197,66441,71221,82639,127628,53710,71133,71996,66891,11502
