Average of Traffic,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,
Row Labels,46,47,48,49,50,51,52,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,52
Antofagasta,0,0,0,0,4504.714286,5101.428571,3691,3229.285714,2990.857143,2899,3142.571429,3376.428571,2991.857143,2794.714286,3240.428571,3496,2975.714286,2618.714286,2251.857143,2317.428571,2964.714286,2898.142857,2757.142857,2796.714286,3627.571429,2963.857143,2812.857143,3079.714286,3350,2965.285714,2926.571429,2755.428571,2905.285714,3070.857143,2813.714286,2749.428571,3089.857143,3613.571429,2889.857143,2763.142857,2613.857143,3673.428571,2914.285714,2125.857143,2733.571429,3221.142857,3027.428571,2858.714286,2742,3090.428571,3859.857143,2671.857143,2639.285714,2723.571429,3452.571429,3768.571429,4620.428571,3655.285714,2516.625,2326.857143,761.4285714,1147.428571,1844.571429,2698.142857,2261,725.1428571,22.57142857,14.28571429,48.28571429,26,18.28571429,21.28571429,16.14285714,8.428571429,11.85714286,7.857142857,35.25,1260.666667
Antofagasta Prat,2039.428571,2495.285714,3167.428571,3610.571429,4526.571429,3431.714286,2361,2264.571429,2001.142857,1908.285714,2083.142857,2329.714286,2035.571429,1876.571429,2111.142857,2325.571429,2028.857143,1881.428571,1902.285714,1342.142857,2034.571429,1929.428571,1793.428571,1841.571429,2474,1936.714286,1791.714286,1950.714286,2110.142857,2029.857143,1941.428571,1838.714286,1888.428571,2025.714286,1907.285714,1867.142857,2076,2136.714286,1900.714286,1674.285714,1696,2013,1820.285714,1369.285714,1741.857143,2090.857143,2121.142857,1793.714286,1705.142857,1793,2127.571429,1968.285714,1990.285714,2213.285714,2798.285714,2853.428571,3590,3162.428571,1856,2162,1794,1809,1849.428571,1945.142857,1647,1974.857143,2184.428571,2729.714286,2376,2441.285714,1842.285714,2543.857143,2678.285714,2160,2066.571429,1964.857143,2953,1091.333333
Arica,5158.857143,5916,6901.571429,6604.285714,9147.142857,7987,6195,5266.857143,4443,4562,4736.571429,5150,4512.428571,4102.714286,4523.428571,5298,4245.142857,4273.857143,3629,3437,4340.571429,3816.142857,3829,3721.571429,4923.428571,3739.714286,3940.428571,4388.142857,4625.714286,3903.571429,4288.142857,4228.428571,4407.857143,4766.428571,3948.142857,4180.428571,4445.571429,5677.142857,3843.571429,3788.285714,3995.714286,4542.142857,3754.285714,3127.857143,4197.714286,4769.285714,4758.857143,4190.857143,3975.142857,4174,5247.857143,4768.714286,4888.857143,5129.142857,6437.571429,6046.571429,7641.857143,7259.857143,4807.875,5050.714286,3977.571429,3899.142857,3816.571429,4172,3499.285714,3450.571429,3660.142857,4409.571429,3722.285714,3513.428571,2929.857143,3961.428571,3879.285714,3275.428571,3306,3270,4674.5,2435.333333
Calama,3330,3961.285714,4960,5476.714286,6149,4484.428571,3534,2967.285714,2872.714286,2736.714286,2818.285714,3122.571429,2818.428571,2389.428571,2706.142857,2959.428571,2656.142857,2457.285714,1917.857143,2070.285714,2783.428571,2752.428571,2517.142857,2413.285714,3381.571429,2648.428571,2445.142857,2737.714286,3029.571429,2723.142857,2706.857143,2391.428571,1626.714286,2862.714286,2652.857143,2605.142857,2915.285714,3436.714286,2791.142857,2564.571429,2596,3185.142857,2857.428571,2102.857143,2548.428571,3027.142857,2957,2508.571429,2513,2621.285714,3158.714286,3106.714286,3001.714286,3208.428571,4295,4411,5648.714286,4810.857143,2608.25,2985,1701,2151.714286,2437.142857,2579.857143,2250.571429,2211.857143,2247,2774,2472.571429,2404.571429,1798.285714,2572,2802.285714,2448.571429,2268.142857,2351.285714,3143,1107.333333
Castro,,,0,0,0,0,,,,,,,,0,0,0,0,2381.428571,2722.714286,1995.714286,3542.428571,3200.857143,3001.857143,3594,4675.571429,3065.571429,3133.428571,3582.428571,4344.428571,3517.857143,3202.714286,3009.571429,3511.714286,3380.857143,3071.285714,3050.285714,3718,4870,2951.857143,2503.285714,2742.857143,3686.285714,3058.571429,2180.857143,2642.285714,3728.714286,3737.142857,2880.428571,2875.285714,3203.714286,3858.857143,3275.714286,3048.714286,3291.857143,5091,5044.571429,5506.857143,5484.142857,4447.75,4137.714286,3321.571429,2628.428571,2429.428571,3203,2626.857143,2288.428571,2690.571429,3172.428571,2525.714286,2281,1669.285714,2746.571429,2925.428571,2255,2088.142857,1507.285714,2338,2082
Chillan,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326.142857,3089.285714,2775.285714,2844.428571,1726.285714,2029.571429,2349.714286,2267.285714,2494.857143,2552.714286,3927.285714,2331.857143,2271.285714,2213.571429,2649.571429,2404.571429,1730.428571,2222.428571,2538,2607.857143,2264.285714,2251.857143,2085.142857,2757.428571,2557.571429,2757.285714,2702.142857,3486.142857,4048.857143,4889.714286,4614.714286,3100.5,3120.571429,2289.857143,2542.571429,2443.857143,3170.285714,2976,2832.428571,2759.714286,3293.285714,2801.714286,2755.142857,2145,2848.857143,3026.571429,2638.857143,2464.571429,2370.714286,3262.5,1630.666667
Concepcion Principal,4173.142857,5292.285714,6801.142857,6708.285714,8617.285714,6495.142857,4895,4936.857143,4181.428571,3959.142857,4054.714286,4827.714286,4204.571429,4567.142857,5133.428571,5214.428571,4262.571429,3780.428571,3844.714286,3261.285714,4314.285714,4058.142857,3999.571429,3831.142857,5543.714286,4551,3960.571429,4432.285714,4638,4379.714286,4115.142857,3682.571429,3959.857143,4065.428571,3848,3956,4253.142857,5241,3892.142857,3679.142857,3501.285714,4398.857143,3854,2527.142857,3680.142857,4325.142857,4326.714286,3605.142857,3475,3444.571429,4551.142857,3966.142857,4125.571429,4281,5470.714286,5959,7197.571429,5933.428571,3817.75,4387.714286,3799.571429,3564.428571,3690.571429,4315.857143,3952.428571,3748,3855.428571,4724.285714,3556.714286,3149.857143,2381.714286,3318.714286,3471.142857,2960.428571,2794.571429,2589.285714,3751.25,1816.666667
Coyhaique,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.285714286,0,0,0,0,0,0,0,0,0,1990.714286,1839.142857,1675.714286,1783.714286,2056.714286,1867.142857,1321.142857,1812.714286,2059,2194.857143,1885.571429,1698.714286,1804.142857,2148.857143,2086.285714,2058.571429,2445.571429,3078,3654.857143,3949.285714,3721.142857,2578.25,2327.857143,2191,2086.142857,2168.714286,2671.571429,2633.571429,2209.714286,2326.857143,2436,2207.142857,2046.571429,2164.857143,2372.142857,2328.285714,1904,1840.571429,1877.714286,2481.5,1436.666667
Estado,,,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.571429,2071.857143,2263,2196.714286,2201.428571,2158,2186.428571,2689.857143,2034.714286,1877.428571,1862.857143,2251.857143,1918.571429,1307,1656.142857,2118.571429,2097.714286,1619.142857,1641.714286,1743.571429,2269,1991.142857,2036.285714,2090,2892.428571,2889.571429,3455.428571,3013,2203,2330.571429,1309.714286,678.4285714,941,2420,1969.571429,1724.714286,1767,2281.714286,1973.571429,1906.571429,1427.571429,2095.428571,2235.714286,1693.857143,1822.285714,1845.714286,2602.25,994.3333333
