Average of Traffic,Column Labels,,,,,,
Row Labels,Domingo,Jueves,Lunes,Martes,Mi?coles,S?ado,Viernes
Antofagasta,1487.434211,2245.896104,2703.012987,2509.428571,2416.805195,2666.644737,2520.631579
Antofagasta Prat,1336.986842,2080.285714,2503.207792,2317.246753,2243.337662,2308.592105,2270.328947
Arica,1940.407895,4528.584416,5821.831169,5054.844156,4841.558442,4702.736842,5012.434211
Calama,1601.394737,3053.961039,3443.961039,3201.480519,3093.545455,2772.921053,3168.802632
Castro,1436.166667,2843.757576,3520.666667,2931.134328,2970.484848,3437.075758,3034.893939
Chillan,1111.80303,2012.151515,2369.80303,2085.865672,2054.863636,2402.636364,2099.106061
Concepcion Principal,2243.894737,4193.662338,5165.181818,4598.324675,4404.233766,4705.302632,4564.657895
Coyhaique,997.8636364,1349.757576,1510.30303,1291.059701,1264.212121,1663.969697,1282.727273
La Serena,1057.484848,1963.227273,2330.954545,2061.075758,1989.257576,2126.575758,1958.333333
Los Angeles,1147.181818,2207.530303,2508.909091,2217.378788,2151.909091,2730.348485,2343.545455
Melipilla,2088.210526,2873.753247,3571.948052,3092.753247,3009.532468,3880.526316,3049.223684
Puente Alto,2232,2802.012987,3567.181818,3213.298701,3033.350649,3847.802632,3106.565789
Rancagua,2269.513158,3490.350649,4499.207792,3918.181818,3750.090909,4654.144737,3894.118421
San Antonio,1052.090909,1886.621212,2323.272727,2044.939394,1964.545455,2097.606061,1800.378788
San Bernardo Centro,1463.939394,1776.424242,2121,1844.30303,1800.939394,2238.939394,1802.19697
San Felipe,1663.986842,2939.805195,3885.220779,3391.25974,3224.532468,4406.723684,3429.223684
Talagante,1177.818182,1483.530303,1764.515152,1539.878788,1463.136364,2023.181818,1513.424242
Talca III,1350.939394,1708.80303,2004.287879,1803.469697,1737.863636,2256.878788,1797.378788
Temuco,2427.157895,3893.779221,4825.987013,4364.701299,4246.155844,5031.065789,4359.473684
Vallenar,871.5,1866.333333,2113.909091,1869.590909,1885.227273,1747.80303,1877.378788
