Row Labels,Average of Traffic,Average of Population
Antofagasta,2365.044776,399392
Antofagasta Prat,2152.43097,372325
Arica,4561.248134,231611
Calama,2907.339552,173691
Castro,2882.131749,48247
Chillan,2019.604752,178871
Concepcion Principal,4270.300373,228848
Coyhaique,1337.028078,59862
La Serena,1926.701299,212621
Los Angeles,2186.686147,193252
Melipilla,3081.268657,115197
Puente Alto,3114.895522,602203
Rancagua,3783.216418,232639
San Antonio,1881.350649,96360
San Bernardo Centro,1863.963203,294019
San Felipe,3277.869403,73326
Talagante,1566.497835,73326
Talca III,1808.517316,231860
Temuco,4165.304104,285487
Vallenar,1747.391775,52824
